Facility_No,Hospital_name,Address,City,Zip,long,lat,County,COUNTYFP,No_of_beds,No_of_physicians,Hospitalization_rate
192,Harbor Hospital of Southeast Texas,"860 S 8th St,,TX",,77701,-94.1252309,30.0694478,Jefferson,245,2811,58,3.23%
193,Baptist Hospital of Southeast Texas,"3080 College St,Beaumont,TX",Beaumont,77701,-94.1197861,30.0707723,Jefferson,245,2758,16,88.25%
194,Christus Southeast Texas Orthopedic Institute - St Elizabeth,"3650 Laurel Ave,Beaumont,TX",Beaumont,77707,-94.1396213,30.0832335,Jefferson,245,2634,72,14.83%
195,CHRISTUS Southeast Texas Outpatient Center Mid County,"8801 9th Avenue,Port Arthur,TX",Port Arthur,77642,-93.9863523,29.9531491,Jefferson,245,2749,19,86.98%
196,CHRISTUS Spohn Hospital Alice,"2500 E Main St,Alice,TX",Alice,78332,-98.041818,27.7647683,Jim Wells,249,125,177,15.89%
197,Peterson Regional Medical Center,"551 Hill Country Drive,Kerrville,TX",Kerrville,78028,-99.1524297,30.0439245,Kerr,265,2313,83,17.82%
198,CHRISTUS Spohn Hospital Kleberg,"1311 General Cavazos Blvd,Kingsville,TX",Kingsville,78363,-97.8508635,27.4901556,Kleberg,273,461,39,45.65%
199,Knox County Hospital,"701 S 5th St,Knox City,TX",Knox City,79529,-99.811273,33.4137684,Knox,275,2307,133,11.38%
200,Rollins-Brook Community Hospital,"608 N Key Ave,Lampasas,TX",Lampasas,76550,-98.1863598,31.0724144,Lampasas,281,986,106,46.84%

